2026-06-16 13:09:16,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 13:09:16,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 13:09:26,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 13:09:27,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 13:09:30,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 13:09:30,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 13:09:57,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 13:09:57,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 13:11:11,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 13:11:11,Office Page,GetOfficeList,"pq: function public.f_get_employeelist(unknown, unknown) does not exist at position 5:7 (42883)"
2026-06-16 14:15:12,Office Page,SaveUpdateOffice Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
2026-06-16 14:18:52,Office Page,SaveUpdateOffice,json: cannot unmarshal number into Go struct field OfficeModel.office_id of type string
2026-06-16 14:19:31,Office Page,SaveUpdateOffice,json: cannot unmarshal number into Go struct field OfficeModel.office_id of type string
2026-06-16 14:21:51,Office Page,SaveUpdateOffice,json: cannot unmarshal number into Go struct field OfficeModel.office_id of type string
2026-06-16 14:22:57,Office Page,SaveUpdateOffice,json: cannot unmarshal number into Go struct field OfficeModel.office_id of type string
2026-06-16 14:24:20,Office Page,SaveUpdateOffice,json: cannot unmarshal number into Go struct field OfficeModel.office_id of type string
2026-06-16 14:24:39,Office Page,SaveUpdateOffice,json: cannot unmarshal number into Go struct field OfficeModel.office_id of type string
2026-06-16 14:25:05,Office Page,SaveUpdateOffice,json: cannot unmarshal number into Go struct field OfficeModel.office_id of type string
2026-06-16 14:25:41,Office Page,SaveUpdateOffice,json: cannot unmarshal number into Go struct field OfficeModel.office_id of type string
2026-06-16 14:26:41,Office Page,SaveUpdateOffice,json: cannot unmarshal number into Go struct field OfficeModel.office_id of type string
2026-06-16 14:26:45,Office Page,SaveUpdateOffice,"pq: duplicate key value violates unique constraint ""m_emp_personal_details_emp_code_key"" (23505)"
2026-06-16 14:26:50,Office Page,SaveUpdateOffice,"pq: duplicate key value violates unique constraint ""m_emp_personal_details_emp_code_key"" (23505)"
2026-06-16 14:34:12,Office Page,SaveUpdateOffice Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
2026-06-16 14:34:17,Office Page,SaveUpdateOffice Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
2026-06-16 14:35:34,Employee Page,SaveUpdateEmployee Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
2026-06-16 14:35:34,Office Page,SaveUpdateOffice,"pq: invalid input syntax for type date: """" (22007)"
2026-06-16 14:40:59,Office Page,GetOfficeList,EOF
2026-06-16 14:40:59,Office Page,GetOfficeList,EOF
2026-06-16 14:43:43,Employee Page,SaveUpdateEmployee Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
2026-06-16 14:43:43,Office Page,SaveUpdateOffice,"pq: invalid input syntax for type date: """" (22007)"
2026-06-16 14:46:47,Employee Page,SaveUpdateEmployee Action Log Error,"auth service error: {""message"":""pq: could not complete operation in a failed transaction"",""success"":false}
"
2026-06-16 14:46:47,Office Page,SaveUpdateOffice,"pq: invalid input syntax for type date: """" (22007)"
